case_count,ci95_high,ci95_low,comparison,mean_paired_difference,metric
65,0.06991350970330183,0.040008432084556615,A3_full_fusion_minus_A0_independent_max,0.05428692739434289,object_iou
65,-0.0021672960088153226,-0.00834002661578101,A3_full_fusion_minus_A0_independent_max,-0.005361347160344038,object_precision
65,0.08435406459115963,0.052323722091677204,A3_full_fusion_minus_A0_independent_max,0.06776032363048383,object_recall
65,0.12527337613367023,-0.07924026306775175,A3_full_fusion_minus_A0_independent_max,0.02251826353636308,part_precision_at_025
65,0.337067016944845,0.20979900441438903,A3_full_fusion_minus_A0_independent_max,0.2732573108138719,part_recall_at_025
65,0.22423413374389345,0.10243766020304482,A3_full_fusion_minus_A0_independent_max,0.1635166514455015,part_f1_at_025
65,0.08306644523776875,-0.10283856457142658,A3_full_fusion_minus_A0_independent_max,-0.007338212064456411,part_precision_at_050
65,0.15759706959706957,0.06586120365305886,A3_full_fusion_minus_A0_independent_max,0.11201937579765633,part_recall_at_050
65,0.11299205047825735,0.007190191035018623,A3_full_fusion_minus_A0_independent_max,0.06063439242749588,part_f1_at_050
65,0.26709564689508614,0.11861293495350925,A3_full_fusion_minus_A0_independent_max,0.1925178115337323,mean_matched_iou_at_025
65,0.34832880838777325,0.19912715316047372,A3_full_fusion_minus_A0_independent_max,0.27217064052040707,mean_matched_boundary_f1_at_025
65,0.1601741004093945,0.05024400411051995,A3_full_fusion_minus_A0_independent_max,0.10188039712926591,semantic_part_recall_at_025
65,1.9544380880557348,0.9395447764904779,A3_full_fusion_minus_A0_independent_max,1.368681926419483,oversegmentation_ratio
65,6.338461538461538,3.7384615384615385,A3_full_fusion_minus_A0_independent_max,4.923076923076923,predicted_part_count
65,0.05204083423074245,0.023711065202369354,A3_full_fusion_minus_A0_independent_max,0.036513418462485646,fusion_seconds
65,0.06731847502019049,0.03738001308504884,A3_full_fusion_minus_A1_cross_source_consensus,0.051625335815051736,object_iou
65,-0.002041162756406852,-0.008000235364860641,A3_full_fusion_minus_A1_cross_source_consensus,-0.005086981561565794,object_precision
65,0.08086811363975939,0.04934735102933146,A3_full_fusion_minus_A1_cross_source_consensus,0.0645139503290205,object_recall
65,0.03914863718483624,-0.15617281744148256,A3_full_fusion_minus_A1_cross_source_consensus,-0.059276608258508716,part_precision_at_025
65,0.27884617042083104,0.15607553909137623,A3_full_fusion_minus_A1_cross_source_consensus,0.21522406201139233,part_recall_at_025
65,0.16591145088246817,0.04395773081913667,A3_full_fusion_minus_A1_cross_source_consensus,0.10346670139555147,part_f1_at_025
65,0.026314201974496083,-0.1540771490261875,A3_full_fusion_minus_A1_cross_source_consensus,-0.06368436591061025,part_precision_at_050
65,0.11757012953110235,0.03351529842706314,A3_full_fusion_minus_A1_cross_source_consensus,0.07568237946066,part_recall_at_050
65,0.07007721168846928,-0.032041983011354205,A3_full_fusion_minus_A1_cross_source_consensus,0.019555928407855385,part_f1_at_050
65,0.17065238478416817,0.04418489672797613,A3_full_fusion_minus_A1_cross_source_consensus,0.1073881424161104,mean_matched_iou_at_025
65,0.25660946672258494,0.1185490216882135,A3_full_fusion_minus_A1_cross_source_consensus,0.18692998740529518,mean_matched_boundary_f1_at_025
65,0.12617924270299835,0.035318573583279465,A3_full_fusion_minus_A1_cross_source_consensus,0.07762004209968011,semantic_part_recall_at_025
65,1.8608393720407292,0.8502257263852286,A3_full_fusion_minus_A1_cross_source_consensus,1.271930728899055,oversegmentation_ratio
65,5.876923076923077,3.3846153846153846,A3_full_fusion_minus_A1_cross_source_consensus,4.492307692307692,predicted_part_count
65,0.049235948537982306,0.0222783046846878,A3_full_fusion_minus_A1_cross_source_consensus,0.03457966768720116,fusion_seconds
65,1.3047432198696237e-05,-0.00030658630925286113,A3_full_fusion_minus_A2_consensus_hierarchy,-0.00011975401480824364,object_iou
65,7.743251989578605e-05,9.183166892956935e-07,A3_full_fusion_minus_A2_consensus_hierarchy,2.9567969005698334e-05,object_precision
65,-2.1496183564566556e-06,-0.0003567614703469524,A3_full_fusion_minus_A2_consensus_hierarchy,-0.00014944778612414355,object_recall
65,0.059095487845487855,0.011382255816079347,A3_full_fusion_minus_A2_consensus_hierarchy,0.03352653630934174,part_precision_at_025
