case_count,expected_domain,mean_fusion_seconds,mean_mean_matched_boundary_f1_at_025,mean_mean_matched_iou_at_025,mean_object_iou,mean_object_precision,mean_object_recall,mean_oversegmentation_ratio,mean_part_f1_at_025,mean_part_f1_at_050,mean_part_precision_at_025,mean_part_precision_at_050,mean_part_recall_at_025,mean_part_recall_at_050,mean_predicted_part_count,mean_semantic_part_recall_at_025,variant
18,container,0.039212772224952154,0.32510712442461376,0.39055890921089387,0.7182456604490084,0.955178312253331,0.7512795767013667,0.36216931216931214,0.2411816578483245,0.12213403880070547,0.5462962962962963,0.25,0.16164021164021167,0.08201058201058202,1.5555555555555556,0.12037037037037036,A0_independent_max
18,container,0.03963976668051651,0.3335790576367048,0.3748103708580688,0.7204550554143444,0.9545397580067017,0.7540193093792066,0.4584656084656085,0.2865961199294532,0.14440035273368604,0.6018518518518517,0.2777777777777778,0.2029100529100529,0.10105820105820106,1.9444444444444444,0.1425925925925926,A1_cross_source_consensus
18,container,0.056149105551109336,0.4313334160744209,0.4159112666492109,0.7881632679744796,0.9485058074965573,0.8316598568674026,0.9510582010582012,0.3201952368619036,0.12142857142857141,0.3871913580246914,0.15617283950617283,0.30661375661375667,0.11865079365079365,4.111111111111111,0.17685185185185187,A2_consensus_hierarchy
18,container,0.05875276111247432,0.4126780126209844,0.40048317086917384,0.7881274400331334,0.9485054824212978,0.8316160099740837,0.9760582010582011,0.3721112221112221,0.1377104377104377,0.42546296296296293,0.17083333333333334,0.3825396825396825,0.13624338624338625,4.222222222222222,0.18425925925925926,A3_full_fusion
15,daily_object,0.04912129333242774,0.11970901848733503,0.198130202293396,0.675097970478229,0.79163959764264,0.7910183915030019,1.0047619047619047,0.1424915824915825,0.08148148148148149,0.18444444444444444,0.12222222222222222,0.1722222222222222,0.06111111111111111,2.066666666666667,0.05555555555555555,A0_independent_max
15,daily_object,0.051303419990775485,0.2050421067546442,0.2840094089508057,0.6790971575020407,0.7921388161693597,0.7960019982082811,1.0642857142857143,0.22079846079846074,0.14941798941798942,0.28888888888888886,0.21111111111111114,0.2357142857142857,0.11666666666666667,2.2666666666666666,0.08888888888888888,A1_cross_source_consensus
15,daily_object,0.07075684666633605,0.4259059004462951,0.41086347550153735,0.7132733929956981,0.7896605024212516,0.8494412426859046,2.1123015873015873,0.2623391423391423,0.1475132275132275,0.2600793650793651,0.13722222222222225,0.3634920634920635,0.1817460317460317,5.2,0.12222222222222222,A2_consensus_hierarchy
15,daily_object,0.07309458665549755,0.42183186572784354,0.4098931699991226,0.713245037167172,0.7896820534678014,0.8493786995957221,2.276190476190476,0.29228142228142223,0.14931697931697932,0.2863756613756614,0.1446296296296296,0.4134920634920635,0.19007936507936504,5.6,0.15555555555555553,A3_full_fusion
15,device,0.1131126866598303,0.24963078854239773,0.2862236718336741,0.8021095279820026,0.9825679878942059,0.8130896100900199,0.35730158730158734,0.1855555555555556,0.10074074074074074,0.38333333333333336,0.19444444444444445,0.14396825396825397,0.08444444444444445,1.4,0.09730158730158728,A0_independent_max
15,device,0.11423023333773016,0.3175118152713182,0.40673994918664297,0.8046943217876347,0.982378492762741,0.8158093855953512,0.4552380952380953,0.21360269360269366,0.14989898989898992,0.38333333333333336,0.2722222222222222,0.173968253968254,0.12396825396825396,1.8666666666666667,0.09730158730158728,A1_cross_source_consensus
15,device,0.15138156667041283,0.5493890919394432,0.554861540098985,0.8551400047293469,0.9759915881504487,0.872653852574629,2.5884126984126987,0.29988164856585914,0.16114452798663326,0.31315366550660667,0.17426237161531283,0.35714285714285715,0.1901587301587302,8.533333333333333,0.2142857142857143,A2_consensus_hierarchy
15,device,0.16189552000335727,0.5716169025430627,0.5394531173838508,0.8552175884998114,0.9759936042835565,0.8727317303663306,2.99,0.3720817700817701,0.18783068783068785,0.36749737190913656,0.1980505279034691,0.49952380952380954,0.22746031746031747,10.266666666666667,0.20555555555555555,A3_full_fusion
4,furniture,0.31909505001385696,0.021971123666038924,0.06725530326366425,0.4988913055214117,0.5759070853693864,0.6514435770652778,1.4196428571428572,0.029411764705882353,0.0,0.025,0.0,0.03571428571428571,0.0,6.75,0.0,A0_independent_max
4,furniture,0.3392396249982994,0.21035441066470933,0.22613577730953693,0.499806941154201,0.5732550604341153,0.6550401645217662,1.6779761904761905,0.12464985994397759,0.05322128851540616,0.0875,0.040625,0.2357142857142857,0.08571428571428572,8.25,0.15,A1_cross_source_consensus
4,furniture,0.435834674994112,0.37202103835429046,0.3939089899261793,0.5089288899160638,0.5652667982144163,0.6883806056760307,3.272619047619048,0.1283068783068783,0.05555555555555555,0.08409090909090909,0.03522727272727273,0.2839285714285714,0.13571428571428573,15.5,0.2125,A2_consensus_hierarchy
4,furniture,0.4663948999950662,0.4518045076738434,0.43475026786327364,0.5088187533618287,0.5653268708016165,0.6881910185454863,3.744047619047619,0.14559386973180077,0.067816091954023,0.09058441558441557,0.042727272727272725,0.3839285714285714,0.17142857142857143,17.75,0.3125,A3_full_fusion
11,tool_prop,0.05478262726154009,0.2663699936427209,0.1945577318018133,0.5272812961782506,0.7760475306498368,0.6403082260765535,0.3055555555555555,0.1424242424242424,0.1424242424242424,0.2727272727272727,0.2727272727272727,0.09848484848484848,0.09848484848484848,1.3636363636363635,0.045454545454545456,A0_independent_max
11,tool_prop,0.053636463644744996,0.4112598939591251,0.3455333790995858,0.5300823951150743,0.776013208952656,0.6431956800228164,0.40404040404040403,0.2303030303030303,0.1696969696969697,0.4090909090909091,0.3181818181818182,0.16666666666666666,0.1212121212121212,1.7272727272727273,0.045454545454545456,A1_cross_source_consensus
